State Name,Address,City,State Abbreviation,Zip Code
Alabama (statewide),600 Dexter Avenue,Montgomery,AL,36130
Alaska (statewide),120 4th Street,Juneau,AK,99801
Arizona (statewide),1700 West Washington,Phoenix,AZ,85007
Arkansas (statewide),500 Woodlane Street,Little Rock,AR,72201
California (statewide),1315 10th Street,Sacramento,CA,95814
Colorado (statewide),200 East Colfax Avenue,Denver,CO,80203
Connecticut (statewide),210 Capitol Avenue,Hartford,CT,06106
Delaware (statewide),411 Legislative Avenue,Dover,DE,19901
Florida (statewide),400 South Monroe Street,Tallahassee,FL,32399
Georgia (statewide),206 Washington Street Southwest,Atlanta,GA,30334
Hawaii (statewide),415 South Beretania Street,Honolulu,HI,96813
Idaho (statewide),700 West Jefferson Street,Boise,ID,83702
Illinois (statewide),401 South Spring Street Ste 3,Springfield,IL,62706
Indiana (statewide),200 West Washington Street #220,Indianapolis,IN,46204
Iowa (statewide),1007 East Grand Avenue,Des Moines,IA,50319
Kansas (statewide),6425 Southwest 6th Avenue,Topeka,KS,66612
Kentucky (statewide),700 Capital Avenue Bay,Frankfort,KY,40601
Louisiana (statewide),900 North 3rd Street,Baton Rouge,LA,70802
Maine (statewide),210 State Street,Augusta,ME,04330
Maryland (statewide),100 State Circle,Annapolis,MD,21401
Massachusetts (statewide),24 Beacon Street,Boston,MA,01233
Michigan (statewide),110 S. Capitol Avenue,Lansing,MI,48933
Minnesota (statewide),75 Rev Dr Martin Luther King Junior Boulevard,Saint Paul,MN,55155
Mississippi (statewide),400 High Street,Jackson,MS,39201
Missouri (statewide),201 West Capitol Avenue,Jefferson City,MO,65101
Montana (statewide),1301 East 6th Avenue,Helena,MT,59601
Nebraska (statewide),1445 K Street,Lincoln,NE,68508
Nevada (statewide),101 North Carson Street,Carson City,NV,89701
New Hampshire (statewide),107 North Main Street,Concord,NH,03301
New Jersey (statewide),125 West State Street,Trenton,NJ,08608
New Mexico (statewide),411 State Capitol,Santa Fe,NM,87501
New York (statewide),State Street and Washington Avenue,Albany,NY,12224
North Carolina (statewide),1 East Edenton Street,Raleigh,NC,27601
North Dakota (statewide),600 East Boulevard Avenue,Bismarck,ND,58505
Ohio (statewide),1 Capitol Square,Columbus,OH,43215
Oklahoma (statewide),2300 North Lincoln Boulevard,Oklahoma City,OK,73105
Oregon (statewide),900 Court Street Northeast,Salem,OR,97301
Pennsylvania (statewide),501 North 3rd Street,Harrisburg,PA,17120
Rhode Island (statewide),82 Smith Street,Providence,RI,02903
South Carolina (statewide),1100 Gervais Street,Columbia,SC,29201
South Dakota (statewide),500 East Capitol Avenue,Pierre,SD,57501
Tennessee (statewide),600 Charlotte Avenue,Nashville,TN,37243
Texas (statewide),1100 Congress Avenue,Austin,TX,78701
Utah (statewide),350 North State Street,Salt Lake City,UT,84114
Vermont (statewide),115 State Street,Montpelier,VT,05633
Virginia (statewide),1000 Bank Street,Richmond,VA,23219
Washington (statewide),416 Sid Snyder Ave Southwest,Olympia,WA,98504
West Virginia (statewide),1900 Kanawha Boulevard East,Charleston,WV,25317
Wisconsin (statewide),2 East Main Street,Madison,WI,53703
Wyoming (statewide),200 West 24th Street,Cheyenne,WY,82001
