Title,Category,File Type,File
Programmer / Analyst / Developer / Software / Computer,Jobs,Computer,Computer.jpg
Engineer / Engineering,Jobs,Slide rule,Engineer.jpg
Sales / Business Development / marketing,Jobs,dollar / chart,Business.jpg
Intern,Jobs,notepad,intern.jpg
Accountant / Clerk,Jobs,Calculator,Accounting.jpg
Manager / Director / Executive,Jobs,briefcase,Manager.jpg
Cook / Chef,Jobs,cooking utensil,Chef.jpg
Nursing / Nurse / RN / Doctor / Medical / Physician / Clinical / Health / Dental / Medicine / LPN / CNA,Jobs,Stetoscope,Nurse.jpg
Secretary / Assistant,Jobs,typewriter,secretary.jpg
Support / Call Center / Customer service,Jobs,rotary telephone,call_center_customer_service.jpg
Driver / Truck / Delivery,Jobs,car / truck,car.jpg
Waiter / Waitress ,Jobs,menu,menu.jpg
Repair / Installer,Jobs,toolbox,toolbox.jpg
chemist / lab tech / scientist,Jobs,testtube,testtube.jpg
lawyer / paralegal / police,Jobs,law book,lawbook.jpg
other,Jobs,we're hiring,werehiring.jpg
Teacher / School,Jobs,chalkboard,Chalkboard.jpg
Specialist / Consultant / Coordinator,Jobs,consulting,Consulting.jpg
Psychologist / Mental / Therapist,Jobs,mental / brain,Mental.jpg
Security,Jobs,lock,Lock.jpg
Worker / Associate / staff,Jobs,worker,Worker.jpg
Social / Community,Jobs,community,Community.jpg
Housekeeping / Janitor,Jobs,cleaning supplies,Cleaning_Supplies.jpg
